trial_id,pair_or_basket,method,sample,exit_reason,trades,gross_bps,cost_bps,net_bps
126,XLK-PLTR,coint_filter,validation,max_hold,12,5.7723116583244325,22.065209367927572,-16.29289770960314
126,XLK-PLTR,coint_filter,validation,reversion,2,17.735878957737565,1.856251447081873,15.879627510655693
126,XLK-PLTR,coint_filter,test,eod,10,-29.9932273800471,26.285439704284418,-56.27866708433152
126,XLK-PLTR,coint_filter,test,max_hold,34,-26.388669727492132,89.8212271362093,-116.20989686370145
126,XLK-PLTR,coint_filter,test,reversion,3,24.05230008981374,22.04789980043545,2.004400289378292
127,XLK-PLTR,coint_filter,train,eod,15,3.417879284579178,38.041748261091804,-34.62386897651262
127,XLK-PLTR,coint_filter,train,max_hold,40,8.327945455207903,88.61834434166259,-80.2903988864547
127,XLK-PLTR,coint_filter,train,reversion,12,104.30229841650274,59.304260069005004,44.99803834749772
127,XLK-PLTR,coint_filter,validation,eod,3,9.497005460971275,22.883416081111214,-13.386410620139943
127,XLK-PLTR,coint_filter,validation,max_hold,12,5.7723116583244325,22.065209367927572,-16.29289770960314
127,XLK-PLTR,coint_filter,validation,reversion,2,17.735878957737565,1.856251447081873,15.879627510655693
127,XLK-PLTR,coint_filter,test,eod,10,-29.9932273800471,26.285439704284418,-56.27866708433152
127,XLK-PLTR,coint_filter,test,max_hold,34,-26.388669727492132,89.8212271362093,-116.20989686370145
127,XLK-PLTR,coint_filter,test,reversion,3,24.05230008981374,22.04789980043545,2.004400289378292
138,XLK-NVDA,kalman_lagged,train,eod,41,75.50316690874624,185.11252790164374,-109.6093609928975
138,XLK-NVDA,kalman_lagged,train,max_hold,109,-46.1178260393515,262.6244803597053,-308.7423063990568
138,XLK-NVDA,kalman_lagged,train,reversion,24,149.40061295774603,123.77033954569957,25.630273412046453
138,XLK-NVDA,kalman_lagged,train,stop_loss,47,-127.71582152676694,116.52089498060286,-244.23671650736972
138,XLK-NVDA,kalman_lagged,validation,eod,11,23.448244963590767,53.39659431615155,-29.948349352560793
138,XLK-NVDA,kalman_lagged,validation,max_hold,27,8.419578778063354,53.15458590178423,-44.73500712372087
138,XLK-NVDA,kalman_lagged,validation,reversion,10,84.67622053627355,68.02204775960526,16.65417277666828
138,XLK-NVDA,kalman_lagged,test,eod,30,-5.846034298130836,118.37361418958552,-124.21964848771636
138,XLK-NVDA,kalman_lagged,test,max_hold,81,75.57652695898248,191.82169809116596,-116.24517113218347
138,XLK-NVDA,kalman_lagged,test,reversion,32,344.6696341354883,171.60757495877488,173.06205917671346
138,XLK-NVDA,kalman_lagged,test,stop_loss,37,-137.47855424748545,119.86717205052386,-257.3457262980093
139,XLK-NVDA,kalman_lagged,train,eod,41,75.50316690874624,185.11252790164374,-109.6093609928975
139,XLK-NVDA,kalman_lagged,train,max_hold,110,-54.05858634447892,251.61988732400607,-305.6784736684851
139,XLK-NVDA,kalman_lagged,train,reversion,24,149.40061295774603,123.77033954569957,25.630273412046453
139,XLK-NVDA,kalman_lagged,validation,eod,11,23.448244963590767,53.39659431615155,-29.948349352560793
139,XLK-NVDA,kalman_lagged,validation,max_hold,27,8.419578778063354,53.15458590178423,-44.73500712372087
139,XLK-NVDA,kalman_lagged,validation,reversion,10,84.67622053627355,68.02204775960526,16.65417277666828
139,XLK-NVDA,kalman_lagged,test,eod,30,-5.846034298130836,118.37361418958552,-124.21964848771636
139,XLK-NVDA,kalman_lagged,test,max_hold,82,77.99366112155863,206.05105374565977,-128.05739262410114
139,XLK-NVDA,kalman_lagged,test,reversion,32,344.6696341354883,171.60757495877488,173.06205917671346
140,XLK-NVDA,kalman_lagged,train,eod,32,57.237832086295576,177.48835782951895,-120.25052574322338
